MIN=0	-10	-10	0	0	0	
MAX=28,28427125	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,07	0,015	0,15	0,07	NAN	
0,1	0,06	0,01	0,1	0,06	NAN	
0,2	0,07	0,01	0,1	0,07	NAN	
0,3	0,06	0,005	0,05	0,06	NAN	
0,4	0,065	0,01	0,1	0,065	NAN	
0,5	0,065	0,025	0,25	0,065	NAN	
0,6	0,075	0,035	0,35	0,075	NAN	
0,7	0,06	0,045	0,45	0,06	NAN	
0,8	0,065	0,05	0,5	0,065	NAN	
0,9	0,06	0,06	0,6	0,06	NAN	
1	0,07	0,07	0,7	0,07	NAN	
1,1	0,06	0,08	0,8	0,06	NAN	
1,2	0,07	0,09	0,9	0,07	NAN	
1,3	0,06	0,095	0,95	0,06	NAN	
1,4	0,065	0,105	1,05	0,065	NAN	
1,5	0,06	0,12	1,2	0,06	NAN	
1,6	0,07	0,125	1,25	0,07	NAN	
1,7	0,06	0,14	1,4	0,06	NAN	
1,8	0,065	0,145	1,45	0,065	NAN	
1,9	0,06	0,155	1,55	0,06	NAN	
2	0,07	0,165	1,65	0,07	NAN	
2,1	0,06	0,175	1,75	0,06	NAN	
2,2	0,07	0,19	1,9	0,07	NAN	
2,3	0,06	0,195	1,95	0,06	NAN	
2,4	0,065	0,205	2,05	0,065	NAN	
2,5	0,06	0,215	2,15	0,06	NAN	
2,6	0,07	0,22	2,2	0,07	NAN	
2,7	0,055	0,23	2,3	0,055	NAN	
2,8	0,07	0,24	2,4	0,07	NAN	
2,9	0,06	0,255	2,55	0,06	NAN	
3	0,07	0,26	2,6	0,07	NAN	
3,1	0,07	0,27	2,7	0,07	NAN	
3,2	0,07	0,275	2,75	0,07	NAN	
3,3	0,07	0,29	2,9	0,07	NAN	
3,4	0,065	0,3	3	0,065	NAN	
3,5	0,07	0,31	3,1	0,07	NAN	
3,6	0,075	0,32	3,2	0,075	NAN	
3,7	0,065	0,335	3,35	0,065	NAN	
3,8	0,075	0,34	3,4	0,075	NAN	
3,9	0,065	0,345	3,45	0,065	NAN	
4	0,07	0,36	3,6	0,07	NAN	
4,1	0,07	0,365	3,65	0,07	NAN	
4,2	0,07	0,375	3,75	0,07	NAN	
4,3	0,065	0,385	3,85	0,065	NAN	
4,4	0,065	0,395	3,95	0,065	NAN	
4,5	0,065	0,405	4,05	0,065	NAN	
4,6	0,06	0,415	4,15	0,06	NAN	
4,7	0,07	0,425	4,25	0,07	NAN	
4,8	0,06	0,435	4,35	0,06	NAN	
4,9	0,065	0,44	4,4	0,065	NAN	
5	0,065	0,455	4,55	0,065	NAN	
5,1	0,07	0,46	4,6	0,07	NAN	
5,2	0,06	0,475	4,75	0,06	NAN	
5,3	0,07	0,48	4,8	0,07	NAN	
5,4	0,06	0,49	4,9	0,06	NAN	
5,5	0,065	0,505	5,05	0,065	NAN	
5,6	0,06	0,51	5,1	0,06	NAN	
5,7	0,07	0,525	5,25	0,07	NAN	
5,8	0,06	0,53	5,3	0,06	NAN	
5,9	0,07	0,54	5,4	0,07	NAN	
6	0,06	0,55	5,5	0,06	NAN	
6,1	0,065	0,56	5,6	0,065	NAN	
6,2	0,06	0,57	5,7	0,06	NAN	
6,3	0,07	0,58	5,8	0,07	NAN	
6,4	0,055	0,585	5,85	0,055	NAN	
6,5	0,065	0,595	5,95	0,065	NAN	
6,6	0,06	0,605	6,05	0,06	NAN	
6,7	0,07	0,615	6,15	0,07	NAN	
6,8	0,055	0,625	6,25	0,055	NAN	
6,9	0,07	0,64	6,4	0,07	NAN	
7	0,055	0,65	6,5	0,055	NAN	
